user_id;service_name;service_category;price_min;price_max;date_of_payment;number_of_payments
0;Amazon Prime;Amazon;13;13;21;12
0;Fitness+;Health;8;8;20;12
0;Sony PlayStation Plus;Games;7;7;5;3
0;Disney+;Video Streaming;7;7;12;5
0;Amazon Music;Music;8;8;5;2
0;Boro;Water Supplier;35;70;17;2
1;YouTube;Video Streaming;12;12;2;3
1;Learn Now;Online Education;12;12;5;8
1;Netflix;Video Streaming;14;14;11;4
1;Spotify;Music;10;10;13;12
1;Birto;Water Supplier;35;65;16;9
2;Sephora Play;Beauty;16;16;17;9
2;Cutie;Beauty;12;12;11;8
2;Netflix;Video Streaming;14;14;8;7
2;Spotify;Music;10;10;26;8
2;Boro;Water Supplier;35;70;13;10
2;Clean Me;House;56;56;9;10
3;New York Times;Digital Magazine;4;4;8;3
3;Spotify;Music;10;10;14;4
3;Boro;Water Supplier;35;70;6;6
4;YouTube;Video Streaming;12;12;11;3
4;App Store;Store;5;20;19;4
5;App Store;Store;5;20;11;4
5;Amazon Prime;Amazon;13;13;6;3
5;Disney+;Video Streaming;7;7;23;10
5;Spotify;Music;10;10;26;6
5;Boro;Water Supplier;35;70;13;12
6;App Store;Store;5;20;16;7
6;Amazon Prime;Amazon;13;13;27;4
6;Lora;Beauty;15;15;26;9
6;Netflix;Video Streaming;14;14;22;8
6;Spotify;Music;10;10;23;8
6;Get Food;Food;12;12;26;4
6;Birto;Water Supplier;35;65;2;5
7;YouTube;Video Streaming;12;12;24;12
7;App Store;Store;5;20;8;6
7;Amazon Prime;Amazon;13;13;26;3
8;Amazon Prime;Amazon;13;13;16;3
8;Microsoft Xbox Game Pass;Games;10;10;22;3
8;Netflix;Video Streaming;14;14;16;11
8;YouTube Music;Music;7;7;10;9
8;Arialo;Water Supplier;30;60;22;11
9;App Store;Store;5;20;13;6
9;Amazon Prime;Amazon;13;13;16;8
10;YouTube;Video Streaming;12;12;15;2
10;App Store;Store;5;20;20;8
10;Financial Times;Digital Magazine;12;12;13;2
10;Disney+;Video Streaming;7;7;6;9
10;Spotify;Music;10;10;16;3
10;Arialo;Water Supplier;30;60;26;9
11;App Store;Store;5;20;15;12
11;Amazon Prime;Amazon;13;13;14;9
11;Sony PlayStation Plus;Games;7;7;24;5
11;Spotify;Music;10;10;18;9
11;Boro;Water Supplier;35;70;24;11
12;Fitness+;Health;8;8;12;2
12;Sony PlayStation Plus;Games;7;7;1;3
12;Netflix;Video Streaming;14;14;6;8
12;Spotify;Music;10;10;13;2
12;Birto;Water Supplier;35;65;22;5
13;Amazon Prime;Amazon;13;13;9;11
